source,symbol,name,sourceAddress,sourceDecimals,coingeckoId,logo,solAddress,solDecimals,ethAddress,ethDecimals,bscAddress,bscDecimals,terraAddress,terraDecimals,maticAddress,maticDecimals,avaxAddress,avaxDecimals,oasisAddress,oasisDecimals,algorandAddress,algorandDecimals,ftmAddress,ftmDecimals,auroraAddress,auroraDecimals,karuraAddress,karuraDecimals,acalaAddress,acalaDecimals,klaytnAddress,klaytnDecimals,celoAddress,celoDecimals,nearAddress,nearDecimals,moonbeamAddress,moonbeamDecimals,terra2Address,terra2Decimals,injectiveAddress,injectiveDecimals,xplaAddress,xplaDecimals,optimismAddress,optimismDecimals,arbitrumAddress,arbitrumDecimals,aptosAddress,aptosDecimals,baseAddress,baseDecimals
eth,NXM,Nexus Mutual (Portal),0xd7c49cee7e9188cca6ad8ff264c1da2e69d4cf3b,18.0,nexus-mutual,,Aqs5ydqKXEK2cjotDXxHmk8N9PknqQ5q4ZED4ymY1eeh,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eth,ORION,Orion Money (Portal),0x727f064a78dc734d33eec18d5370aef32ffd46e4,18.0,orion-money,https://assets.coingecko.com/coins/images/18630/small/YtrqPIWc.png,,,,,0x3dcB18569425930954feb191122e574b87F66abd,18.0,terra1mddcdx0ujx89f38gu7zspk2r2ffdl5enyz2u03,8.0,0x5E0294Af1732498C77F8dB015a2d52a76298542B,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eth,PAXG,Paxos Gold (Portal),0x45804880de22913dafe09f4980848ece6ecbaf78,18.0,pax-gold,,C6oFsE8nXRDThzrMEQ5SxaNFGKoyyfWDDVPw37JKvPTe,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eth,PENDLE,Pendle,0x808507121B80c02388fAd14726482e061B8da827,18.0,pendle,https://docs.pendle.finance/img/TokenLogo.png,,,,,0xb3Ed0A426155B79B898849803E3B36552f7ED507,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eth,PEOPLE,ConstitutionDAO (Portal),0x7a58c0be72be218b41c608b7fe7c5bb630736c71,18.0,constitutiondao,,CobcsUrt3p91FwvULYKorQejgsm5HoQdv5T8RUZ6PnLA,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eth,PERP,Perpetual Protocol (Portal),0xbc396689893d065f41bc2c6ecbee5e0085233447,18.0,perpetual-protocol,,9BsnSWDPfbusseZfnXyZ3un14CyPMZYvsKjWY3Y8Gbqn,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eth,RGT,Rari Governance Token (Portal),0xd291e7a03283640fdc51b121ac401383a46cc623,18.0,rari-governance-token,,ASk8bss7PoxfFVJfXnSJepj9KupTX15QaRnhdjs6DdYe,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eth,RPL,Rocket Pool (Portal),0xd33526068d116ce69f19a9ee46f0bd304f21a51f,18.0,rocket-pool,,HUCyuyqESEUV4YWTKFvvB4JiQLqoovscTBpRXfGzW4Wx,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eth,RSR,Reserve Rights (Portal),0x8762db106B2c2A0bccB3A80d1Ed41273552616E8,18.0,reserve-rights-token,,DkbE8U4gSRuGHcVMA1LwyZPYUjYbfEbjW8DMR3iSXBzr,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eth,SAND,The Sandbox (Portal),0x3845badAde8e6dFF049820680d1F14bD3903a5d0,18.0,the-sandbox,https://gemini.com/images/currencies/icons/default/sand.svg,49c7WuCZkQgc3M4qH8WuEUNXfgwupZf1xqWkDQ7gjRGt,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eth,SD,Stader SD (Portal),0x30D20208d987713f46DFD34EF128Bb16C404D10f,18.0,stader,https://raw.githubusercontent.com/stader-labs/assets/fb5f931ead18cea7480aff37c18c203ed3ba8ae3/eth/SD.png,,,,,,,terra1ustvnmngueq0p4jd7gfnutgvdc6ujpsjhsjd02,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eth,SHIB,Shiba Inu (Portal),0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,18.0,shiba-inu,https://etherscan.io/token/images/shibatoken_32.png,CiKu4eHsVrc1eueVQeHn7qhXTcVu95gSQmBpX4utjL9z,8.0,,,0xb1547683DA678f2e1F003A780143EC10Af8a832B,18.0,terra1huku2lecfjhq9d00k5a8dh73gw7dwe6vvuf2dd,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eth,SLP,Smooth Love Potion (Portal),0xcc8fa225d80b9c7d42f96e9570156c65d6caaa25,0.0,smooth-love-potion,,4hpngEp1v3CXpeKB81Gw4sv7YvwUVRKvY3SGag9ND8Q4,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eth,SNX,Synthetix Network Token (Portal),0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f,18.0,synthetix-network-token,,8cTNUtcV2ueC3royJ642uRnvTxorJAWLZc58gxAo7y56,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
